id,app,name,applied
1,contenttypes,0001_initial,"2024-09-05 20:27:34.060399"
2,auth,0001_initial,"2024-09-05 20:27:34.846650"
3,admin,0001_initial,"2024-09-05 20:27:35.007589"
4,admin,0002_logentry_remove_auto_add,"2024-09-05 20:27:35.015587"
5,admin,0003_logentry_add_action_flag_choices,"2024-09-05 20:27:35.025585"
6,contenttypes,0002_remove_content_type_name,"2024-09-05 20:27:35.115588"
7,auth,0002_alter_permission_name_max_length,"2024-09-05 20:27:35.181586"
8,auth,0003_alter_user_email_max_length,"2024-09-05 20:27:35.205589"
9,auth,0004_alter_user_username_opts,"2024-09-05 20:27:35.215588"
10,auth,0005_alter_user_last_login_null,"2024-09-05 20:27:35.324607"
11,auth,0006_require_contenttypes_0002,"2024-09-05 20:27:35.326603"
12,auth,0007_alter_validators_add_error_messages,"2024-09-05 20:27:35.340591"
13,auth,0008_alter_user_username_max_length,"2024-09-05 20:27:35.414583"
14,auth,0009_alter_user_last_name_max_length,"2024-09-05 20:27:35.487587"
15,auth,0010_alter_group_name_max_length,"2024-09-05 20:27:35.521590"
16,auth,0011_update_proxy_permissions,"2024-09-05 20:27:35.535586"
17,auth,0012_alter_user_first_name_max_length,"2024-09-05 20:27:35.633173"
18,authtoken,0001_initial,"2024-09-05 20:27:35.755244"
19,authtoken,0002_auto_20160226_1747,"2024-09-05 20:27:35.796246"
20,authtoken,0003_tokenproxy,"2024-09-05 20:27:35.799247"
21,authtoken,0004_alter_tokenproxy_options,"2024-09-05 20:27:35.807248"
22,riverdata,0001_initial,"2024-09-05 20:27:36.105923"
23,riverdata,0002_granitefallsprediction,"2024-09-05 20:27:36.144919"
24,sessions,0001_initial,"2024-09-05 20:27:36.182920"
25,riverdata,0003_granitefallsforecast,"2024-09-05 21:05:08.807698"
26,riverdata,0004_alter_granitefallsforecast_river_id_and_more,"2024-09-05 21:26:43.474457"
27,riverdata,0005_delete_verlotgauge,"2024-09-11 18:50:08.704939"
28,riverdata,0006_remove_granitefallsforecast_river_id_and_more,"2024-09-11 18:58:50.046920"
29,riverdata,0007_granitefallsprediction_prediction_datetime,"2024-09-11 20:36:24.996418"
30,riverdata,0008_granitefallsforecast_prediction_datetime,"2024-09-11 20:56:57.279118"
31,riverdata,0009_alpinemeadowsgauge_datetime_and_more,"2024-09-11 22:28:00.824328"
32,riverdata,0010_alter_combinedgauges_date_alter_combinedgauges_time,"2024-09-11 22:43:06.976912"
33,riverdata,0011_alter_combinedpredictions_date_and_more,"2024-09-12 19:09:23.794777"
34,riverdata,0012_alter_granitefallsprediction_date_and_more,"2024-09-12 19:58:17.290571"
35,riverdata,0013_alter_granitefallsforecast_date_and_more,"2024-09-12 20:05:24.723111"
36,riverdata,0014_granitefallspredictionarchive,"2024-09-12 23:11:45.817271"
37,riverdata,0015_alter_granitefallspredictionarchive_unique_together,"2024-09-12 23:12:30.697318"
38,riverdata,0016_alter_granitefallsforecast_unique_together_and_more,"2024-09-13 17:41:19.012161"
39,riverdata,0017_alter_combinedpredictions_unique_together_and_more,"2024-09-13 19:55:02.244165"
40,riverdata,0018_alter_alpinemeadowsgauge_unique_together_and_more,"2024-09-13 20:04:16.585085"
41,riverdata,0019_alter_granitefallsgauge_unique_together_and_more,"2024-09-13 20:18:27.237599"
42,riverdata,0020_alter_combinedgauges_unique_together_and_more,"2024-09-13 20:20:59.419570"
43,riverdata,0021_alter_alpinemeadowsgauge_datetime_and_more,"2024-09-17 20:51:25.078454"
44,riverdata,0022_accuracymetrics_averageprediction,"2024-09-18 16:34:15.564882"
45,riverdata,0023_rename_accuracyperiod_accuracymetrics_accuracy_period_and_more,"2024-09-18 17:45:27.843338"
46,riverdata,0024_rename_mae_score_accuracymetrics_mae_and_more,"2024-09-18 19:12:52.364200"
47,riverdata,0025_rename_gauge_a_name_combinedgauges_gauge_1_name_and_more,"2024-09-20 18:16:44.197035"
48,riverdata,0026_rename_gauge_1_name_combinedgauges_gauge_a_name_and_more,"2024-09-20 18:17:33.900860"
49,riverdata,0027_rename_gauge_a_name_granitefallsprediction_gauge1_name_and_more,"2024-09-20 18:22:04.347337"
50,riverdata,0028_rename_gauge1_name_granitefallsprediction_gauge_a_name_and_more,"2024-09-20 18:22:46.076923"
51,riverdata,0029_granitefallsforecastlinear,"2024-09-20 20:10:49.809866"
52,riverdata,0030_rename_granitefallsforecastlinear_granitefallspredictionlinear,"2024-09-20 20:31:00.914158"
53,riverdata,0031_granitefallsforecastlinear,"2024-09-20 20:35:50.672126"
54,riverdata,0032_granitefallspredictionlineararchive,"2024-09-20 20:43:49.613551"
55,riverdata,0033_accuracymetricslinear_averagepredictionlinear,"2024-09-20 20:55:47.274383"
56,riverdata,0034_delete_combinedgauges,"2024-09-30 15:30:37.233192"
57,riverdata,0035_combinedgauges,"2024-10-07 17:20:02.840153"
